Paternal genotype,WY,WY,WY,WY,WY,WY,BY,BY,BY,BY,BY,BY,WX,WX,WX,WX,WX,WX,BX,BX,BX,BX,BX,BX
"WGT,BGW",0,0,(1 - cT)*(r1*(1 - r2)/2 + r2*(1 - r1)/2)/2,cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(r1*r2/2 + (1 - r1)*(1 - r2)/2)/2,0,0,0,0,(1 - cT)*(r1*r2/2 + (1 - r1)*(1 - r2)/2)/2,cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(r1*(1 - r2)/2 + r2*(1 - r1)/2)/2,0,0,0,0,(1 - cT)*(r1*(1 - r2)/2 + r2*(1 - r1)/2)/2,cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(r1*r2/2 + (1 - r1)*(1 - r2)/2)/2,0,0,0,0,(1 - cT)*(r1*r2/2 + (1 - r1)*(1 - r2)/2)/2,cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(r1*(1 - r2)/2 + r2*(1 - r1)/2)/2,0,0
"WGT,BGT",0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0
"WGT,BRW",0,0,r2*(1 - cT)*(1 - r1)/4,cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(1 - r1)*(1 - r2)/4,r1*(1 - cT)*(1 - r2)/4,cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*r2*(1 - cT)/4,0,0,r1*r2*(1 - cT)/4,cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*(1 - cT)*(1 - r2)/4,(1 - cT)*(1 - r1)*(1 - r2)/4,cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + r2*(1 - cT)*(1 - r1)/4,0,0,r2*(1 - cT)*(1 - r1)/4,cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(1 - r1)*(1 - r2)/4,r1*(1 - cT)*(1 - r2)/4,cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*r2*(1 - cT)/4,0,0,r1*r2*(1 - cT)/4,cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*(1 - cT)*(1 - r2)/4,(1 - cT)*(1 - r1)*(1 - r2)/4,cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + r2*(1 - cT)*(1 - r1)/4
"WGT,BRT",0,0,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,r1*r2/4 + r1*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,r1*r2/4 + r1*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4
"WRW,WRW",0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0,0
"WRW,WRT",0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0
"WRW,BWW",r1*r2/4 + r1*(1 - r2)/4,0,0,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4,0,r1*r2/4 + r1*(1 - r2)/4,0,0,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4,0
"WRW,BWT",r1*r2/4,r1*(1 - r2)/4,0,0,(1 - r1)*(1 - r2)/4,r2*(1 - r1)/4,r2*(1 - r1)/4,(1 - r1)*(1 - r2)/4,0,0,r1*(1 - r2)/4,r1*r2/4,r1*r2/4,r1*(1 - r2)/4,0,0,(1 - r1)*(1 - r2)/4,r2*(1 - r1)/4,r2*(1 - r1)/4,(1 - r1)*(1 - r2)/4,0,0,r1*(1 - r2)/4,r1*r2/4
"WRW,BGW",0,0,cT*r1*r2*(1 - cT)/4 + cT*r1*(1 - cT)*(1 - r2)/4 + (1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2)/2,cT^2*(r1*r2/2 + r1*(1 - r2)/2)/2 + cT*r1*r2*(1 - cT)/4 + cT*r1*(1 - cT)*(1 - r2)/4,cT*r2*(1 - cT)*(1 - r1)/4 + cT*(1 - cT)*(1 - r1)*(1 - r2)/4 + (1 - cT)^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*r2*(1 - cT)*(1 - r1)/4 + cT*(1 - cT)*(1 - r1)*(1 - r2)/4,0,0,cT*r2*(1 - cT)*(1 - r1)/4 + cT*(1 - cT)*(1 - r1)*(1 - r2)/4 + (1 - cT)^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*r2*(1 - cT)*(1 - r1)/4 + cT*(1 - cT)*(1 - r1)*(1 - r2)/4,cT*r1*r2*(1 - cT)/4 + cT*r1*(1 - cT)*(1 - r2)/4 + (1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2)/2,cT^2*(r1*r2/2 + r1*(1 - r2)/2)/2 + cT*r1*r2*(1 - cT)/4 + cT*r1*(1 - cT)*(1 - r2)/4,0,0,cT*r1*r2*(1 - cT)/4 + cT*r1*(1 - cT)*(1 - r2)/4 + (1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2)/2,cT^2*(r1*r2/2 + r1*(1 - r2)/2)/2 + cT*r1*r2*(1 - cT)/4 + cT*r1*(1 - cT)*(1 - r2)/4,cT*r2*(1 - cT)*(1 - r1)/4 + cT*(1 - cT)*(1 - r1)*(1 - r2)/4 + (1 - cT)^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*r2*(1 - cT)*(1 - r1)/4 + cT*(1 - cT)*(1 - r1)*(1 - r2)/4,0,0,cT*r2*(1 - cT)*(1 - r1)/4 + cT*(1 - cT)*(1 - r1)*(1 - r2)/4 + (1 - cT)^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT^2*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*r2*(1 - cT)*(1 - r1)/4 + cT*(1 - cT)*(1 - r1)*(1 - r2)/4,cT*r1*r2*(1 - cT)/4 + cT*r1*(1 - cT)*(1 - r2)/4 + (1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2)/2,cT^2*(r1*r2/2 + r1*(1 - r2)/2)/2 + cT*r1*r2*(1 - cT)/4 + cT*r1*(1 - cT)*(1 - r2)/4
"WRW,BGT",0,0,r1*r2*(1 - cT)/4,cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*(1 - cT)*(1 - r2)/4,(1 - cT)*(1 - r1)*(1 - r2)/4,cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + r2*(1 - cT)*(1 - r1)/4,0,0,r2*(1 - cT)*(1 - r1)/4,cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(1 - r1)*(1 - r2)/4,r1*(1 - cT)*(1 - r2)/4,cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*r2*(1 - cT)/4,0,0,r1*r2*(1 - cT)/4,cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*(1 - cT)*(1 - r2)/4,(1 - cT)*(1 - r1)*(1 - r2)/4,cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + r2*(1 - cT)*(1 - r1)/4,0,0,r2*(1 - cT)*(1 - r1)/4,cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(1 - r1)*(1 - r2)/4,r1*(1 - cT)*(1 - r2)/4,cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*r2*(1 - cT)/4
"WRW,BRW",0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0
"WRW,BRT",0,0,0,0,r1*r2/4 + (1 - r1)*(1 - r2)/4,r1*(1 - r2)/4 + r2*(1 - r1)/4,0,0,0,0,r1*(1 - r2)/4 + r2*(1 - r1)/4,r1*r2/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,r1*r2/4 + (1 - r1)*(1 - r2)/4,r1*(1 - r2)/4 + r2*(1 - r1)/4,0,0,0,0,r1*(1 - r2)/4 + r2*(1 - r1)/4,r1*r2/4 + (1 - r1)*(1 - r2)/4
"WRT,WRT",0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0
"WRT,BWW",r1*(1 - r2)/4,r1*r2/4,0,0,r2*(1 - r1)/4,(1 - r1)*(1 - r2)/4,(1 - r1)*(1 - r2)/4,r2*(1 - r1)/4,0,0,r1*r2/4,r1*(1 - r2)/4,r1*(1 - r2)/4,r1*r2/4,0,0,r2*(1 - r1)/4,(1 - r1)*(1 - r2)/4,(1 - r1)*(1 - r2)/4,r2*(1 - r1)/4,0,0,r1*r2/4,r1*(1 - r2)/4
"WRT,BWT",0,r1*r2/4 + r1*(1 - r2)/4,0,0,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4,0,r1*r2/4 + r1*(1 - r2)/4,0,0,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4
"WRT,BGW",0,0,r1*(1 - cT)*(1 - r2)/4,cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*r2*(1 - cT)/4,r2*(1 - cT)*(1 - r1)/4,cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(1 - r1)*(1 - r2)/4,0,0,(1 - cT)*(1 - r1)*(1 - r2)/4,cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + r2*(1 - cT)*(1 - r1)/4,r1*r2*(1 - cT)/4,cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*(1 - cT)*(1 - r2)/4,0,0,r1*(1 - cT)*(1 - r2)/4,cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*r2*(1 - cT)/4,r2*(1 - cT)*(1 - r1)/4,cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - cT)*(1 - r1)*(1 - r2)/4,0,0,(1 - cT)*(1 - r1)*(1 - r2)/4,cT*(r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + r2*(1 - cT)*(1 - r1)/4,r1*r2*(1 - cT)/4,cT*(r1*r2/2 + r1*(1 - r2)/2)/2 + r1*(1 - cT)*(1 - r2)/4
"WRT,BGT",0,0,0,r1*r2/4 + r1*(1 - r2)/4,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,r1*r2/4 + r1*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,r1*r2/4 + r1*(1 - r2)/4
"WRT,BRW",0,0,0,0,r1*(1 - r2)/4 + r2*(1 - r1)/4,r1*r2/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,r1*r2/4 + (1 - r1)*(1 - r2)/4,r1*(1 - r2)/4 + r2*(1 - r1)/4,0,0,0,0,r1*(1 - r2)/4 + r2*(1 - r1)/4,r1*r2/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,r1*r2/4 + (1 - r1)*(1 - r2)/4,r1*(1 - r2)/4 + r2*(1 - r1)/4
"WRT,BRT",0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4
"BWW,BWW",0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0
"BWW,BWT",0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0
"BWW,BGW",0,0,0,0,0,0,cT*(1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT^2*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + c*cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + c*cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + cT^2*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + c*cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + c*cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,0,0,0,0,0,0,cT*(1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,cT^2*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + c*cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + c*cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + cT^2*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + c*cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT^2*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*cT*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + c*cT*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2
"BWW,BGT",0,0,0,0,0,0,(1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + (1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,0,0,0,0,0,0,(1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + (1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2
"BWW,BRW",0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0,0,0,r1*r2/4 + r1*(1 - r2)/4 + r2*(1 - r1)/4 + (1 - r1)*(1 - r2)/4,0
"BWW,BRT",0,0,0,0,0,0,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r2*(1 - r1)/4,0,0,r1*r2/4 + r2*(1 - r1)/4,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,0,0,0,0,0,0,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4,r1*r2/4 + r2*(1 - r1)/4,0,0,r1*r2/4 + r2*(1 - r1)/4,r1*(1 - r2)/4 + (1 - r1)*(1 - r2)/4
"BWT,BWT",0,0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0,0,0,0,0,0,0,0,r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2,0,0,0,0
"BWT,BGW",0,0,0,0,0,0,(1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,0,0,0,0,0,0,(1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2,c*cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2 + cT*(1 - c)*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + (1 - c)*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*(1 - cT)*(r1*r2/2 + r2*(1 - r1)/2)/2,c*cT*(r1*r2/2 + r1*(1 - r2)/2 + r2*(1 - r1)/2 + (1 - r1)*(1 - r2)/2)/2 + c*(1 - cT)*(r1*(1 - r2)/2 + (1 - r1)*(1 - r2)/2)/2
